localidad,consumo,tarifa,pibper
Mexicali,282,5.7,128.153
Tijuana,186,11.4,106.068
Chihuahua,244,4,148.54
Cuauhtemoc,148,4.9,74.848
Hidalgo del Parral,163,5.5,73.897
Tapachula,135,1.5,59.066
Albia,304,3.1,130.455
Ciudad Acu¤a,245,3.8,111.721
Monclova,184,3.8,118.024
Ramos Arizpe,149,5.3,299.383
Sabinas,263,3.5,104.003
Torreon,166,6.7,130.455
Manzanillo,196,7.8,96.133
Cuauhtemoc,198,4.9,191.294
Ciudad Lerdo,156,3.8,75.075
Gomez Palacio,176,6.6,95.02
San Felipe,133,4.2,95.02
Iguala,133,2.8,55.563
Acambaro,43,13,37.295
Guanajuato,136,9.7,75.443
Irapuato,229,4.3,56.234
Leon,117,10,76.535
San Francisco del R,146,4.9,112.532
Ciudad Lopez Mateos,85,9.2,42.797
Morelia,180,3.1,84.037
Uruapan,45,7.6,59.866
Cuautla,134,1.6,67.054
Jiutepec,132,1.7,79.064
Temixco,110,1.5,53.801
Tepic,289,1.2,73.227
Monterrey,193,7.1,159.653
Atlixco,224,2,55.704
Puebla,134,3.7,119.699
El Pueblito,104,6.1,156.518
San Juan del Rio,168,6.1,75.454
Queretaro,164,10.9,156.518
Culiacan,200,4.8,75.346
Guamuchil,239,2.4,63.001
Guasave,52,3.8,53.045
Los Mochis,250,4.3,65.271
Mazatlan,225,3.6,75.886
Agua Prieta,258,3.6,127.742
Hermosillo,214,3.8,112.467
Caborca,318,1.9,85.14
Ciudad Mante,172,2.9,51.326
Ciudad Rio Bravo,181,4.5,61.476
Ciudad Victoria,178,4.9,82.318
Nuevo Laredo,216,5.3,97.139
Reynosa,210,3.9,99.171
Valle Hermoso,236,1.7,82.253
Cordoba,79,5.3,66.125
Papantla,28,4.6,33.965
Tierra Blanca,119,2.9,43.326
Tuxpam,98,8,43.326
Veracruz,243,4.4,57.758
Fresnillo,216,3.2,47.337